52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:08:57.0 (160181)|USER_INFO|[EXTERNAL]|0057E00000CwQZC|shankar.siddam@univarsolutions.com.dsbox2|(GMT+01:00) British Summer Time (Europe/London)|GMT+01:00
12:08:57.0 (200340)|EXECUTION_STARTED
12:08:57.0 (206097)|CODE_UNIT_STARTED|[EXTERNAL]|apex://AccountCurrentPricesHandler/ACTION$getCurrentPricingList
12:08:57.0 (1065010)|CODE_UNIT_STARTED|[EXTERNAL]|01p7E00000BmRDZ|AccountCurrentPricesHandler.getCurrentPricingList(String)
12:08:57.0 (1208646)|HEAP_ALLOCATE|[79]|Bytes:3
12:08:57.0 (1268172)|HEAP_ALLOCATE|[84]|Bytes:152
12:08:57.0 (1282371)|HEAP_ALLOCATE|[399]|Bytes:408
12:08:57.0 (1298297)|HEAP_ALLOCATE|[412]|Bytes:408
12:08:57.0 (1310973)|HEAP_ALLOCATE|[520]|Bytes:48
12:08:57.0 (1335462)|HEAP_ALLOCATE|[139]|Bytes:6
12:08:57.0 (1384189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:101
12:08:57.0 (1390178)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
12:08:57.0 (1394655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
12:08:57.0 (1406592)|METHOD_ENTRY|[5]|01p7E00000BmRDZ|AccountCurrentPricesHandler.AccountCurrentPricesHandler()
12:08:57.0 (1414940)|STATEMENT_EXECUTE|[5]
12:08:57.0 (1422088)|STATEMENT_EXECUTE|[5]
12:08:57.0 (1425116)|STATEMENT_EXECUTE|[90]
12:08:57.0 (1428385)|STATEMENT_EXECUTE|[111]
12:08:57.0 (1431160)|STATEMENT_EXECUTE|[144]
12:08:57.0 (1436916)|STATEMENT_EXECUTE|[160]
12:08:57.0 (1441575)|METHOD_EXIT|[5]|AccountCurrentPricesHandler
12:08:57.0 (1447473)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
12:08:57.0 (1455267)|VARIABLE_SCOPE_BEGIN|[8]|briefId|String|false|false
12:08:57.0 (1505509)|VARIABLE_ASSIGNMENT|[8]|briefId|"a1u7E00000144ytQAA"
12:08:57.0 (1525293)|STATEMENT_EXECUTE|[8]
12:08:57.0 (1527984)|STATEMENT_EXECUTE|[10]
12:08:57.0 (1532022)|HEAP_ALLOCATE|[10]|Bytes:3
12:08:57.0 (1549011)|HEAP_ALLOCATE|[10]|Bytes:21
12:08:57.0 (1582599)|HEAP_ALLOCATE|[52]|Bytes:5
12:08:57.0 (1604202)|HEAP_ALLOCATE|[58]|Bytes:5
12:08:57.0 (1612017)|HEAP_ALLOCATE|[66]|Bytes:7
12:08:57.0 (1665866)|USER_DEBUG|[10]|DEBUG|@@ a1u7E00000144ytQAA
12:08:57.0 (1679163)|STATEMENT_EXECUTE|[11]
12:08:57.0 (1682360)|HEAP_ALLOCATE|[11]|Bytes:63
12:08:57.0 (1700229)|HEAP_ALLOCATE|[11]|Bytes:4
12:08:57.0 (1711094)|HEAP_ALLOCATE|[11]|Bytes:7
12:08:57.0 (2452129)|SOQL_EXECUTE_BEGIN|[11]|Aggregations:0|SELECT Id, Account__c, CPP__c FROM Brief__C WHERE Id = :tmpVar1
12:08:57.0 (5626086)|SOQL_EXECUTE_END|[11]|Rows:1
12:08:57.0 (5663475)|HEAP_ALLOCATE|[11]|Bytes:8
12:08:57.0 (5707906)|HEAP_ALLOCATE|[11]|Bytes:89
12:08:57.0 (5829889)|HEAP_ALLOCATE|[11]|Bytes:8
12:08:57.0 (5850291)|HEAP_ALLOCATE|[11]|Bytes:34
12:08:57.0 (5909094)|HEAP_ALLOCATE|[11]|Bytes:16
12:08:57.0 (5919047)|VARIABLE_SCOPE_BEGIN|[11]|brief|Brief__c|true|false
12:08:57.0 (5959499)|VARIABLE_ASSIGNMENT|[11]|brief|{"Id":"a1u7E00000144ytQAA","Account__c":"0017E00001FneArQAJ","CPP__c":"0067E00000GJleHQAT"}|0x9c5ff80
12:08:57.0 (5970105)|STATEMENT_EXECUTE|[13]
12:08:57.0 (5974338)|HEAP_ALLOCATE|[13]|Bytes:88
12:08:57.0 (5991006)|HEAP_ALLOCATE|[13]|Bytes:4
12:08:57.0 (6734073)|SOQL_EXECUTE_BEGIN|[13]|Aggregations:0|SELECT Id, AccountNumber, SalesOrg__c, Customer_Code__c FROM Account WHERE Id = :tmpVar1
12:08:57.0 (10923293)|SOQL_EXECUTE_END|[13]|Rows:1
12:08:57.0 (10974082)|HEAP_ALLOCATE|[13]|Bytes:8
12:08:57.0 (11019088)|HEAP_ALLOCATE|[13]|Bytes:76
12:08:57.0 (11111640)|HEAP_ALLOCATE|[13]|Bytes:8
12:08:57.0 (11132143)|HEAP_ALLOCATE|[13]|Bytes:33
12:08:57.0 (11198558)|HEAP_ALLOCATE|[13]|Bytes:16
12:08:57.0 (11209664)|VARIABLE_SCOPE_BEGIN|[13]|acc|Account|true|false
12:08:57.0 (11258483)|VARIABLE_ASSIGNMENT|[13]|acc|{"Id":"0017E00001FneArQAJ","SalesOrg__c":"GB01","Customer_Code__c":"10033035"}|0x44ece737
12:08:57.0 (11270597)|STATEMENT_EXECUTE|[15]
12:08:57.0 (11275218)|HEAP_ALLOCATE|[15]|Bytes:156
12:08:57.0 (11292149)|HEAP_ALLOCATE|[15]|Bytes:4
12:08:57.0 (12546215)|SOQL_EXECUTE_BEGIN|[15]|Aggregations:0|SELECT Id, Name, Lot_Size_Kgs__c, Univar_Product__c, Univar_Product__r.Name, Univar_Product__r.European_Product_Code__c FROM Opportunity WHERE Id = :tmpVar1
12:08:57.0 (16749898)|SOQL_EXECUTE_END|[15]|Rows:1
12:08:57.0 (16787164)|HEAP_ALLOCATE|[15]|Bytes:8
12:08:57.0 (16847662)|HEAP_ALLOCATE|[15]|Bytes:177
12:08:57.0 (16929130)|HEAP_ALLOCATE|[15]|Bytes:8
12:08:57.0 (16950341)|HEAP_ALLOCATE|[15]|Bytes:37
12:08:57.0 (17014216)|HEAP_ALLOCATE|[15]|Bytes:20
12:08:57.0 (17026298)|VARIABLE_SCOPE_BEGIN|[15]|opp|Opportunity|true|false
12:08:57.0 (17072120)|VARIABLE_ASSIGNMENT|[15]|opp|{"Id":"0067E00000GJleHQAT","Name":"001273129","Univar_Product__c":"a057E000009QuAPQA0","Univar_Product__r":{"Name":"XM PMX-200 SIL FLUID (15 more) ...","Id":"a057E000009QuAPQA0"}}|0x22f2beed
12:08:57.0 (17085500)|STATEMENT_EXECUTE|[17]
12:08:57.0 (17089891)|HEAP_ALLOCATE|[17]|Bytes:11
12:08:57.0 (17191934)|HEAP_ALLOCATE|[17]|Bytes:18
12:08:57.0 (17211275)|HEAP_ALLOCATE|[17]|Bytes:29
12:08:57.0 (17231422)|USER_DEBUG|[17]|DEBUG|Account Id:0017E00001FneArQAJ
12:08:57.0 (17242163)|STATEMENT_EXECUTE|[19]
12:08:57.0 (17364523)|HEAP_ALLOCATE|[19]|Bytes:4
12:08:57.0 (17452993)|VARIABLE_SCOPE_BEGIN|[19]|priceIntegrationWrapperFilterList|List<AccountCurrentPricesHandler.PriceIntegrationWrapper>|true|false
12:08:57.0 (17482005)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:08:57.0 (17515520)|VARIABLE_ASSIGNMENT|[19]|priceIntegrationWrapperFilterList|[]|0x291a2511
12:08:57.0 (17523375)|STATEMENT_EXECUTE|[20]
12:08:57.0 (17538629)|HEAP_ALLOCATE|[20]|Bytes:4
12:08:57.0 (17578209)|VARIABLE_SCOPE_BEGIN|[20]|univarProductName|Set<String>|true|false
12:08:57.0 (17611268)|VARIABLE_ASSIGNMENT|[20]|univarProductName|[]|0xd7e79c2
12:08:57.0 (17618008)|STATEMENT_EXECUTE|[24]
12:08:57.0 (17624624)|HEAP_ALLOCATE|[24]|Bytes:8
12:08:57.0 (17629992)|HEAP_ALLOCATE|[24]|Bytes:4
12:08:57.0 (17634687)|HEAP_ALLOCATE|[24]|Bytes:6
12:08:57.0 (17640829)|HEAP_ALLOCATE|[24]|Bytes:1
12:08:57.0 (17649112)|HEAP_ALLOCATE|[24]|Bytes:5
12:08:57.0 (17728931)|VARIABLE_SCOPE_BEGIN|[5]|QPriceIntegration.Constant|API_Credential__mdt|true|true
12:08:57.0 (17738438)|VARIABLE_SCOPE_BEGIN|[15]|QPriceIntegration.EndPointURLPrefix|String|false|true
12:08:57.0 (17745302)|VARIABLE_SCOPE_BEGIN|[10]|QPriceIntegration.clientId|String|false|true
12:08:57.0 (17752740)|VARIABLE_SCOPE_BEGIN|[13]|QPriceIntegration.clientSecret|String|false|true
12:08:57.0 (17760209)|VARIABLE_SCOPE_BEGIN|[7]|QPriceIntegration.grantType|String|false|true
12:08:57.0 (17767199)|VARIABLE_SCOPE_BEGIN|[16]|QPriceIntegration.sandboxEmail|String|false|true
12:08:57.0 (17774520)|VARIABLE_SCOPE_BEGIN|[14]|QPriceIntegration.type|String|false|true
12:08:57.0 (17791101)|HEAP_ALLOCATE|[24]|Bytes:64
12:08:57.0 (17806462)|HEAP_ALLOCATE|[24]|Bytes:25
12:08:57.0 (17811531)|HEAP_ALLOCATE|[24]|Bytes:68
12:08:57.0 (17883782)|METHOD_ENTRY|[4]|01p7E00000BfSOl|QPriceIntegration.QPriceIntegration()
